producto_padre,componente,cantidad_requerida
141,124,3
141,123,4
142,76,2
142,39,4
142,18,1
143,140,3
143,54,3
144,50,2
144,59,3
144,65,2
145,115,1
145,27,3
145,58,1
145,60,2
146,68,3
146,81,1
146,79,2
146,32,3
147,7,4
147,1,4
147,31,1
147,83,4
148,61,4
148,69,2
148,73,3
148,134,2
148,16,1
148,122,3
149,1,2
149,35,3
150,25,4
150,68,3
150,72,4
150,22,2
150,77,1
150,32,1
151,24,4
151,103,4
151,116,4
151,50,2
151,17,3
151,40,2
152,29,2
152,56,1
153,104,2
153,109,3
153,61,2
153,77,2
153,26,3
154,56,1
154,55,4
154,50,1
154,76,3
154,63,2
154,122,4
155,74,4
155,99,2
156,8,4
156,66,4
156,80,3
156,98,1
156,86,3
156,13,2
157,101,2
157,91,1
157,10,3
157,125,3
157,98,2
158,10,2
158,34,4
158,109,1
159,80,2
159,140,3
159,104,4
159,29,2
159,16,4
159,32,2
160,25,1
160,70,3
161,111,1
161,34,3
161,87,3
162,56,1
162,40,4
162,99,3
163,110,4
163,78,4
163,75,4
164,147,4
164,12,1
164,31,1
164,91,1
164,119,4
165,158,3
165,5,4
165,44,2
165,14,2
165,74,1
165,18,2
166,142,1
166,153,4
166,61,3
167,31,3
167,55,2
168,144,3
168,27,3
168,138,2
168,129,2
168,134,4
168,86,4
169,143,1
169,30,1
169,129,1
169,132,2
170,99,3
170,95,1
170,1,2
170,140,1
171,152,2
171,42,1
171,136,3
171,43,1
171,140,2
172,138,3
172,74,4
172,122,1
172,51,2
172,80,1
172,71,2
173,111,4
173,28,4
173,50,4
173,24,1
174,52,3
174,77,2
174,132,2
174,37,2
174,36,3
174,26,3
175,141,1
175,137,1
175,78,4
175,95,1
176,145,3
176,147,1
176,92,1
177,5,2
177,32,4
177,41,4
177,50,1
177,105,4
178,153,2
178,72,1
178,97,4
178,105,1
179,157,1
179,145,3
179,97,2
179,36,1
180,94,2
180,46,4
180,116,1
180,32,2
180,41,4
181,156,2
181,141,1
181,94,3
182,144,3
182,91,4
182,112,2
182,3,1
182,139,2
183,145,3
183,134,1
183,23,2
183,140,4
184,99,2
184,56,1
184,92,1
184,58,2
184,117,3
185,159,3
185,123,3
186,101,4
186,99,2
187,144,3
187,3,2
187,43,1
187,61,3
187,115,3
188,141,4
188,4,2
188,100,3
188,139,4
188,134,4
189,164,2
189,129,2
189,19,3
189,60,1
189,59,2
189,69,2
190,178,1
190,40,2
190,1,1
190,23,2
191,141,4
191,167,1
191,21,4
191,93,1
192,150,4
192,62,4
192,109,1
192,125,4
192,52,1
192,81,2
193,177,1
193,16,1
193,128,1
193,46,2
194,137,2
194,18,1
194,109,1
195,96,2
195,1,4
196,175,1
196,121,4
197,112,4
197,87,1
197,130,3
197,101,2
197,103,1
197,68,4
198,150,4
198,148,2
198,89,4
198,125,1
198,77,2
198,3,3
199,110,1
199,36,1
199,33,2
199,58,3
199,55,4
199,27,3
200,168,3
200,21,1
200,6,4
