id_elemento,nombre,tipo,categoria,costo_unitario,stock_actual
1,Junta-001,Insumo,Mecánico,7689.76,1208
2,Cable-002,Insumo,Mecánico,2178.08,70
3,Cable-003,Insumo,Eléctrico,7722.39,184
4,Junta-004,Insumo,Mecánico,1135.98,102
5,Perno-005,Insumo,Mecánico,605.66,96
6,Rodamiento-006,Insumo,Mecánico,6180.24,222
7,Junta-007,Insumo,Hidráulico,6525.54,2561
8,Tubo-008,Insumo,Hidráulico,6323.5,350
9,Brida-009,Insumo,Mecánico,7411.14,337
10,Conector-010,Insumo,Mecánico,7320.53,437
11,Filtro-011,Insumo,Eléctrico,772.33,294
12,Rodamiento-012,Insumo,Hidráulico,5354.04,95
13,Cable-013,Insumo,Hidráulico,4734.47,250
14,Sensor-014,Insumo,Hidráulico,4494.33,242
15,Tornillo-015,Insumo,Mecánico,7773.98,385
16,Tornillo-016,Insumo,Mecánico,5776.62,1674
17,Rodamiento-017,Insumo,Hidráulico,2055.99,176
18,Brida-018,Insumo,Mecánico,5688.2,63
19,Conector-019,Insumo,Eléctrico,3520.3,366
20,Tornillo-020,Insumo,Hidráulico,7167.15,414
21,Tubo-021,Insumo,Mecánico,4073.48,296
22,Bulón-022,Insumo,Mecánico,2001.84,2723
23,Engranaje-023,Insumo,Hidráulico,6046.85,576
24,Válvula-024,Insumo,Mecánico,625.07,377
25,Brida-025,Insumo,Hidráulico,1298.16,3481
26,Placa-026,Insumo,Eléctrico,6466.88,928
27,Filtro-027,Insumo,Mecánico,6972.97,1371
28,Junta-028,Insumo,Eléctrico,7067.41,204
29,Conector-029,Insumo,Hidráulico,7169.77,146
30,Rodamiento-030,Insumo,Eléctrico,889.31,386
31,Filtro-031,Insumo,Hidráulico,3422.59,1217
32,Válvula-032,Insumo,Mecánico,6887.24,2339
33,Rodamiento-033,Insumo,Eléctrico,4090.87,476
34,Filtro-034,Insumo,Eléctrico,1784.64,83
35,Tornillo-035,Insumo,Eléctrico,2707.55,353
36,Perno-036,Insumo,Hidráulico,2592.39,52
37,Resorte-037,Insumo,Mecánico,3236.65,288
38,Bulón-038,Insumo,Mecánico,2038.78,187
39,Junta-039,Insumo,Eléctrico,5573.47,303
40,Tornillo-040,Insumo,Mecánico,1193.21,132
41,Resorte-041,Insumo,Mecánico,2141.58,311
42,Placa-042,Insumo,Eléctrico,3294.19,459
43,Rodamiento-043,Insumo,Mecánico,2767.12,59
44,Tubo-044,Insumo,Hidráulico,5448.84,72
45,Cable-045,Insumo,Eléctrico,7885.35,367
46,Rodamiento-046,Insumo,Hidráulico,6095.34,108
47,Brida-047,Insumo,Mecánico,5828.45,290
48,Resorte-048,Insumo,Mecánico,5062.12,325
49,Sensor-049,Insumo,Eléctrico,4290.84,141
50,Tubo-050,Insumo,Mecánico,2573.03,3278
51,Sensor-051,Insumo,Mecánico,6868.29,278
52,Junta-052,Insumo,Hidráulico,1769.73,158
53,Conector-053,Insumo,Hidráulico,6477.91,338
54,Válvula-054,Insumo,Hidráulico,1403.19,453
55,Tubo-055,Insumo,Hidráulico,7494.47,965
56,Tubo-056,Insumo,Hidráulico,2735.12,88
57,Filtro-057,Insumo,Eléctrico,7398.3,413
58,Bulón-058,Insumo,Eléctrico,2070.95,737
59,Junta-059,Insumo,Eléctrico,7857.53,5666
60,Válvula-060,Insumo,Mecánico,1942.4,550
61,Bulón-061,Insumo,Mecánico,7204.34,2362
62,Brida-062,Insumo,Hidráulico,2718.85,473
63,Tornillo-063,Insumo,Hidráulico,5810.39,402
64,Tornillo-064,Insumo,Eléctrico,6241.21,349
65,Resorte-065,Insumo,Hidráulico,7485.72,3339
66,Válvula-066,Insumo,Eléctrico,5355.22,60
67,Bulón-067,Insumo,Hidráulico,2984.54,155
68,Filtro-068,Insumo,Hidráulico,7789.57,3991
69,Placa-069,Insumo,Eléctrico,4394.38,1141
70,Sensor-070,Insumo,Hidráulico,5219.17,194
71,Filtro-071,Insumo,Mecánico,154.42,269
72,Bulón-072,Insumo,Mecánico,1438.79,3241
73,Resorte-073,Insumo,Hidráulico,5770.31,665
74,Tubo-074,Insumo,Hidráulico,2948.05,265
75,Rodamiento-075,Insumo,Eléctrico,1959.48,142
76,Sensor-076,Insumo,Eléctrico,3150.85,309
77,Sensor-077,Insumo,Hidráulico,3480.81,1931
78,Cable-078,Insumo,Eléctrico,5164.38,500
79,Perno-079,Insumo,Mecánico,1569.99,396
80,Engranaje-080,Insumo,Hidráulico,4580.31,169
81,Tubo-081,Insumo,Mecánico,7956.46,79
82,Bulón-082,Insumo,Mecánico,2243.69,421
83,Sensor-083,Insumo,Hidráulico,5984.27,3979
84,Cable-084,Insumo,Mecánico,3431.19,328
85,Cable-085,Insumo,Hidráulico,7709.32,280
86,Tubo-086,Insumo,Hidráulico,2452.52,1843
87,Rodamiento-087,Insumo,Mecánico,2542.21,84
88,Placa-088,Insumo,Mecánico,3163.58,229
89,Sensor-089,Insumo,Eléctrico,7440.83,348
90,Bulón-090,Insumo,Eléctrico,4923.91,371
91,Sensor-091,Insumo,Hidráulico,1129.27,96
92,Brida-092,Insumo,Eléctrico,7020.21,77
93,Tubo-093,Insumo,Mecánico,1101.6,194
94,Sensor-094,Insumo,Hidráulico,2355.8,481
95,Rodamiento-095,Insumo,Eléctrico,6482.81,90
96,Filtro-096,Insumo,Mecánico,661.94,436
97,Rodamiento-097,Insumo,Mecánico,5026.88,634
98,Válvula-098,Insumo,Mecánico,576.82,85
99,Bulón-099,Insumo,Eléctrico,7121.14,590
100,Rodamiento-100,Insumo,Hidráulico,3010.91,230
101,Placa-101,Insumo,Hidráulico,5379.49,786
102,Tornillo-102,Insumo,Mecánico,1248.78,352
103,Bulón-103,Insumo,Mecánico,6713.08,72
104,Conector-104,Insumo,Eléctrico,2009.51,2165
105,Conector-105,Insumo,Eléctrico,2433.09,235
106,Brida-106,Insumo,Mecánico,4182.72,216
107,Cable-107,Insumo,Mecánico,3663.55,264
108,Sensor-108,Insumo,Mecánico,1563.1,107
109,Bulón-109,Insumo,Hidráulico,5599.1,1432
110,Resorte-110,Insumo,Mecánico,7756.6,139
111,Conector-111,Insumo,Eléctrico,338.13,451
112,Resorte-112,Insumo,Hidráulico,3473.83,576
113,Conector-113,Insumo,Hidráulico,2014.38,216
114,Conector-114,Insumo,Mecánico,656.18,399
115,Perno-115,Insumo,Mecánico,5511.11,185
116,Tubo-116,Insumo,Eléctrico,7322.56,56
117,Perno-117,Insumo,Eléctrico,1925.9,345
118,Sensor-118,Insumo,Mecánico,5284.98,95
119,Cable-119,Insumo,Mecánico,7639.37,280
120,Rodamiento-120,Insumo,Hidráulico,3491.03,202
121,Engranaje-121,Insumo,Hidráulico,391.25,223
122,Conector-122,Insumo,Hidráulico,6065.19,923
123,Filtro-123,Insumo,Mecánico,937.42,4636
124,Cable-124,Insumo,Hidráulico,335.42,3292
125,Bulón-125,Insumo,Eléctrico,5632.23,577
126,Junta-126,Insumo,Eléctrico,6109.28,112
127,Cable-127,Insumo,Hidráulico,2776.97,345
128,Bulón-128,Insumo,Eléctrico,5201.69,85
129,Conector-129,Insumo,Eléctrico,7593.67,314
130,Válvula-130,Insumo,Eléctrico,2094.54,450
131,Conector-131,Insumo,Eléctrico,7468.16,170
132,Tubo-132,Insumo,Mecánico,5474.87,368
133,Resorte-133,Insumo,Hidráulico,7554.57,441
134,Junta-134,Insumo,Hidráulico,6409.58,1788
135,Junta-135,Insumo,Eléctrico,4591.2,417
136,Tubo-136,Insumo,Mecánico,6491.52,416
137,Brida-137,Insumo,Mecánico,5011.26,612
138,Tubo-138,Insumo,Mecánico,5215.36,922
139,Brida-139,Insumo,Mecánico,564.2,569
140,Perno-140,Insumo,Eléctrico,155.59,434
141,Ensamble-141,Fabricado,Hidráulico,0,49
142,Ensamble-142,Fabricado,Hidráulico,0,22
143,Ensamble-143,Fabricado,Mecánico,0,25
144,Ensamble-144,Fabricado,Mecánico,0,25
145,Ensamble-145,Fabricado,Eléctrico,0,25
146,Ensamble-146,Fabricado,Eléctrico,0,33
147,Ensamble-147,Fabricado,Hidráulico,0,40
148,Ensamble-148,Fabricado,Hidráulico,0,3
149,Ensamble-149,Fabricado,Eléctrico,0,49
150,Ensamble-150,Fabricado,Mecánico,0,10
151,Ensamble-151,Fabricado,Mecánico,0,35
152,Ensamble-152,Fabricado,Mecánico,0,20
153,Ensamble-153,Fabricado,Mecánico,0,35
154,Ensamble-154,Fabricado,Eléctrico,0,36
155,Ensamble-155,Fabricado,Mecánico,0,23
156,Ensamble-156,Fabricado,Hidráulico,0,48
157,Ensamble-157,Fabricado,Hidráulico,0,47
158,Ensamble-158,Fabricado,Eléctrico,0,48
159,Ensamble-159,Fabricado,Hidráulico,0,31
160,Ensamble-160,Fabricado,Hidráulico,0,31
161,Ensamble-161,Fabricado,Mecánico,0,11
162,Ensamble-162,Fabricado,Mecánico,0,12
163,Ensamble-163,Fabricado,Hidráulico,0,24
164,Ensamble-164,Fabricado,Hidráulico,0,40
165,Ensamble-165,Fabricado,Eléctrico,0,16
166,Ensamble-166,Fabricado,Mecánico,0,19
167,Ensamble-167,Fabricado,Mecánico,0,21
168,Ensamble-168,Fabricado,Mecánico,0,18
169,Ensamble-169,Fabricado,Mecánico,0,35
170,Ensamble-170,Fabricado,Mecánico,0,40
171,Ensamble-171,Fabricado,Hidráulico,0,11
172,Ensamble-172,Fabricado,Mecánico,0,6
173,Ensamble-173,Fabricado,Eléctrico,0,30
174,Ensamble-174,Fabricado,Hidráulico,0,46
175,Ensamble-175,Fabricado,Mecánico,0,4
176,Ensamble-176,Fabricado,Hidráulico,0,11
177,Ensamble-177,Fabricado,Mecánico,0,20
178,Ensamble-178,Fabricado,Mecánico,0,22
179,Ensamble-179,Fabricado,Mecánico,0,38
180,Ensamble-180,Fabricado,Mecánico,0,41
181,Ensamble-181,Fabricado,Eléctrico,0,38
182,Ensamble-182,Fabricado,Eléctrico,0,30
183,Producto-183,Fabricado,Eléctrico,0,4
184,Producto-184,Fabricado,Hidráulico,0,22
185,Producto-185,Fabricado,Mecánico,0,42
186,Producto-186,Fabricado,Hidráulico,0,17
187,Producto-187,Fabricado,Hidráulico,0,11
188,Producto-188,Fabricado,Mecánico,0,9
189,Producto-189,Fabricado,Eléctrico,0,43
190,Producto-190,Fabricado,Mecánico,0,37
191,Producto-191,Fabricado,Hidráulico,0,45
192,Producto-192,Fabricado,Mecánico,0,39
193,Producto-193,Fabricado,Eléctrico,0,8
194,Producto-194,Fabricado,Eléctrico,0,26
195,Producto-195,Fabricado,Eléctrico,0,1
196,Producto-196,Fabricado,Mecánico,0,28
197,Producto-197,Fabricado,Mecánico,0,37
198,Producto-198,Fabricado,Hidráulico,0,7
199,Producto-199,Fabricado,Mecánico,0,0
200,Producto-200,Fabricado,Eléctrico,0,16
