id_solicitud,producto,cantidad,fecha,estado
1,196,5,2026-06-23,Creada
2,183,4,2026-01-27,Terminada
3,191,3,2026-03-20,Creada
4,194,1,2026-06-23,Creada
5,192,5,2026-05-09,Planificada
6,200,4,2026-05-05,Terminada
7,189,1,2026-02-25,Terminada
8,187,3,2026-02-01,Planificada
9,193,3,2026-01-07,Terminada
10,184,2,2026-02-17,En Curso
11,185,3,2026-03-12,Planificada
12,198,4,2026-01-04,En Curso
13,188,5,2026-04-22,Planificada
14,187,1,2026-01-03,En Curso
15,195,3,2026-01-03,Creada
16,198,2,2026-05-19,Creada
17,192,1,2026-04-09,Planificada
18,193,5,2026-04-08,En Curso
19,191,3,2026-05-08,Planificada
20,192,5,2026-02-16,En Curso
21,194,2,2026-01-06,En Curso
22,189,2,2026-04-09,Terminada
23,191,3,2026-03-07,Terminada
24,198,4,2026-06-18,Planificada
25,188,2,2026-01-20,En Curso
26,185,5,2026-01-24,Terminada
27,197,5,2026-03-18,En Curso
28,185,4,2026-01-09,Terminada
29,188,1,2026-03-07,En Curso
30,185,2,2026-05-20,Planificada
31,195,4,2026-03-23,Creada
32,198,1,2026-05-24,Terminada
33,198,3,2026-04-15,Terminada
34,197,1,2026-03-03,Terminada
35,195,3,2026-01-09,Terminada
36,189,4,2026-06-01,Demorada por falta de capacidad
37,199,4,2026-06-20,Terminada
38,197,1,2026-02-27,Creada
39,195,4,2026-04-05,Planificada
40,195,5,2026-06-01,Demorada por falta de capacidad
41,191,1,2026-02-22,Planificada
42,194,5,2026-01-24,Terminada
43,184,4,2026-06-10,Planificada
44,197,3,2026-02-15,Terminada
45,193,2,2026-02-07,Terminada
46,189,4,2026-04-24,Demorada por falta de stock
47,187,3,2026-04-05,Creada
48,193,5,2026-05-03,En Curso
49,191,2,2026-01-21,Planificada
50,185,3,2026-06-05,En Curso
51,195,5,2026-04-10,En Curso
52,191,5,2026-06-08,Planificada
53,191,2,2026-02-18,Planificada
54,200,4,2026-03-04,Terminada
55,193,5,2026-02-10,Demorada por falta de capacidad
56,198,4,2026-01-23,Planificada
57,196,4,2026-03-02,Terminada
58,194,2,2026-04-03,Terminada
59,194,5,2026-06-10,Planificada
60,192,5,2026-03-20,En Curso
61,184,5,2026-03-14,Creada
62,189,3,2026-05-08,En Curso
63,192,1,2026-02-19,Creada
64,185,2,2026-05-14,Planificada
65,194,1,2026-06-10,En Curso
66,197,3,2026-02-18,En Curso
67,197,3,2026-06-05,En Curso
68,194,5,2026-04-27,Terminada
69,190,4,2026-03-06,Terminada
70,186,4,2026-06-07,En Curso
71,187,1,2026-03-21,Creada
72,199,4,2026-01-16,En Curso
73,184,1,2026-02-11,Terminada
74,191,2,2026-05-23,Terminada
75,192,5,2026-02-15,Demorada por falta de capacidad
76,191,2,2026-03-17,Creada
77,183,2,2026-04-16,Planificada
78,195,4,2026-06-22,En Curso
79,193,5,2026-06-26,Demorada por falta de stock
80,193,2,2026-02-01,Demorada por falta de capacidad
81,190,3,2026-06-25,Terminada
82,186,2,2026-02-19,Terminada
83,198,3,2026-02-14,Creada
84,186,3,2026-06-22,Terminada
85,198,1,2026-01-19,Terminada
86,193,1,2026-05-21,Creada
87,186,3,2026-06-13,En Curso
88,188,5,2026-04-02,En Curso
89,187,3,2026-04-22,En Curso
90,192,2,2026-01-22,En Curso
91,192,1,2026-05-19,Terminada
92,197,1,2026-06-27,Planificada
93,190,3,2026-02-04,Demorada por falta de stock
94,185,2,2026-03-20,Demorada por falta de stock
95,196,3,2026-06-11,Demorada por falta de capacidad
96,199,1,2026-02-25,Demorada por falta de stock
97,185,5,2026-06-07,Planificada
98,190,3,2026-04-18,Planificada
99,188,1,2026-04-25,Planificada
100,197,1,2026-03-11,Creada
101,192,4,2026-05-21,Creada
102,192,4,2026-01-26,Creada
103,200,2,2026-02-05,En Curso
104,198,3,2026-05-24,Terminada
105,183,2,2026-03-03,Creada
106,196,1,2026-02-05,Creada
107,189,2,2026-01-02,Terminada
108,199,4,2026-05-12,Creada
109,197,4,2026-03-26,Terminada
110,184,5,2026-05-26,Demorada por falta de stock
111,185,1,2026-01-26,En Curso
112,188,4,2026-03-15,Planificada
113,187,4,2026-05-07,Creada
114,200,2,2026-03-17,Terminada
115,197,5,2026-02-13,En Curso
116,185,3,2026-05-05,Terminada
117,186,1,2026-04-18,Demorada por falta de capacidad
118,189,1,2026-01-08,Planificada
119,194,4,2026-05-24,Planificada
120,194,4,2026-02-07,En Curso
121,196,3,2026-01-07,Creada
122,186,2,2026-02-09,En Curso
123,195,1,2026-01-09,Planificada
124,198,3,2026-01-07,Planificada
125,193,5,2026-02-19,En Curso
126,195,4,2026-02-10,En Curso
127,200,4,2026-02-20,Creada
128,194,2,2026-05-05,Terminada
129,200,1,2026-06-02,Creada
130,197,5,2026-02-09,Creada
131,188,3,2026-04-22,Planificada
132,192,3,2026-03-03,Planificada
133,200,3,2026-05-26,En Curso
134,194,3,2026-03-23,Creada
135,190,1,2026-01-24,En Curso
136,198,4,2026-06-21,En Curso
137,187,5,2026-06-06,En Curso
138,190,3,2026-02-04,Planificada
139,193,4,2026-05-25,Creada
140,183,4,2026-02-21,Demorada por falta de stock
141,196,3,2026-02-12,Terminada
142,194,3,2026-02-17,Planificada
143,198,4,2026-05-06,Creada
144,186,2,2026-05-21,Terminada
145,196,3,2026-01-17,Planificada
146,197,2,2026-04-25,En Curso
147,192,3,2026-06-02,Planificada
148,190,3,2026-03-07,En Curso
149,194,1,2026-05-24,Planificada
150,194,4,2026-04-22,Planificada
151,196,5,2026-01-12,Creada
152,186,3,2026-03-19,Terminada
153,188,3,2026-03-04,Planificada
154,192,5,2026-05-21,Terminada
155,188,5,2026-06-07,Planificada
156,183,4,2026-04-06,Demorada por falta de capacidad
157,190,3,2026-03-23,Terminada
158,196,4,2026-03-05,Planificada
159,186,3,2026-06-27,Terminada
160,183,5,2026-05-16,Planificada
161,190,1,2026-03-21,Demorada por falta de stock
162,195,3,2026-04-14,Planificada
163,197,3,2026-03-20,Planificada
164,192,5,2026-01-25,En Curso
165,196,1,2026-01-14,Terminada
166,195,1,2026-01-19,Demorada por falta de stock
167,185,1,2026-01-26,Planificada
168,195,1,2026-05-23,En Curso
169,189,3,2026-06-27,Terminada
