id_tarea,articulo,id_unidad,colaboradores_requeridos,tiempo_estandar
1,141,13,4,0.67
2,142,17,4,4.95
3,142,19,1,4.28
4,142,13,3,4.46
5,142,4,1,0.27
6,143,9,2,1.74
7,143,9,5,2.81
8,143,12,2,5.98
9,144,20,1,4.76
10,144,11,1,1.12
11,144,3,4,4.76
12,144,14,1,1.03
13,144,8,5,3.28
14,145,19,1,3.07
15,145,18,4,4.87
16,145,14,1,2.57
17,146,16,2,1.88
18,147,15,3,2.48
19,147,2,3,5.57
20,147,17,4,0.36
21,147,14,5,3.15
22,147,1,4,3.55
23,148,17,2,4.5
24,149,15,5,3.03
25,149,19,5,4.01
26,149,15,2,0.74
27,149,9,4,4.6
28,150,17,4,2.03
29,151,18,3,1.61
30,151,17,4,1.41
31,151,12,2,1.35
32,151,15,2,4.07
33,151,10,5,2.64
34,152,3,2,4.21
35,152,20,5,5.47
36,152,4,1,0.31
37,152,13,5,3.08
38,152,19,2,0.72
39,153,16,1,3.0
40,154,11,2,1.88
41,154,8,2,5.53
42,155,9,1,0.98
43,155,3,3,1.01
44,155,20,2,5.62
45,155,3,5,0.69
46,155,20,3,0.85
47,156,2,3,3.23
48,156,15,4,1.9
49,156,20,2,0.65
50,156,18,4,3.12
51,156,19,1,3.76
52,157,6,2,1.76
53,157,13,3,5.35
54,157,19,5,4.56
55,157,19,2,5.78
56,157,14,2,1.46
57,158,17,4,2.6
58,158,4,2,3.0
59,159,15,2,2.43
60,159,17,2,5.51
61,159,18,2,4.61
62,160,4,1,1.54
63,160,15,2,4.47
64,160,15,2,5.28
65,161,9,3,1.31
66,162,20,2,5.68
67,162,2,1,5.26
68,162,13,1,3.77
69,163,5,1,0.83
70,163,7,3,3.4
71,163,15,5,1.01
72,164,9,2,0.88
73,164,14,2,3.48
74,164,1,5,4.65
75,164,10,1,5.35
76,164,3,2,4.58
77,165,14,4,3.31
78,165,5,3,3.01
79,166,1,4,5.16
80,166,1,3,1.78
81,167,10,3,3.43
82,167,4,2,4.39
83,167,13,1,1.72
84,168,6,1,2.13
85,169,15,3,2.47
86,169,14,2,2.09
87,169,4,2,1.1
88,169,10,2,5.28
89,169,13,1,5.96
90,170,6,1,0.56
91,171,1,5,1.44
92,171,17,1,5.7
93,171,1,4,4.4
94,172,1,1,3.95
95,173,10,3,1.16
96,173,11,5,5.81
97,174,17,4,1.93
98,175,17,1,0.48
99,175,20,2,5.04
100,175,18,4,2.56
101,175,5,2,3.28
102,175,16,3,2.33
103,176,16,2,2.8
104,176,9,4,3.31
105,176,15,3,1.36
106,176,10,5,4.49
107,176,12,1,1.33
108,177,14,5,1.6
109,177,7,4,1.79
110,177,11,4,2.53
111,178,13,3,1.79
112,179,6,2,4.13
113,180,5,1,0.33
114,180,16,5,1.22
115,180,4,3,5.91
116,181,1,4,3.36
117,181,5,2,3.01
118,181,6,1,3.09
119,181,13,3,1.34
120,181,16,3,4.13
121,182,8,3,2.68
122,182,13,1,1.76
123,182,3,4,1.69
124,182,7,1,4.18
125,183,2,2,3.81
126,183,1,3,1.9
127,184,16,4,4.5
128,184,16,3,0.99
129,184,6,3,1.69
130,184,18,1,4.22
131,184,5,3,1.5
132,185,3,2,2.16
133,185,17,2,2.74
134,185,13,4,3.22
135,185,19,5,4.21
136,186,20,3,1.3
137,186,12,2,3.79
138,186,15,5,1.33
139,187,20,3,3.44
140,187,15,1,4.47
141,187,10,2,4.08
142,187,18,1,2.9
143,188,12,1,5.41
144,188,5,3,1.56
145,188,1,4,0.98
146,188,4,1,1.02
147,188,1,3,5.09
148,189,4,5,5.04
149,190,9,2,1.79
150,190,11,1,0.79
151,190,3,1,5.77
152,190,19,1,5.11
153,190,17,1,0.48
154,191,16,1,2.46
155,191,17,4,3.99
156,191,6,3,2.17
157,191,5,1,3.6
158,192,13,4,4.09
159,193,9,5,2.82
160,193,18,4,1.04
161,194,19,5,2.57
162,194,1,2,2.67
163,194,5,3,5.33
164,194,7,5,2.19
165,195,18,4,0.7
166,195,7,1,5.14
167,195,8,4,3.16
168,195,5,1,1.84
169,196,1,4,1.71
170,196,1,1,1.32
171,197,13,2,3.75
172,197,20,2,1.63
173,197,10,1,0.57
174,197,19,2,3.16
175,197,19,2,2.29
176,198,2,1,1.83
177,198,9,5,2.71
178,198,16,5,0.94
179,199,1,5,4.79
180,199,20,2,5.03
181,199,1,2,4.69
182,200,10,1,1.21
183,200,6,1,4.73
184,200,6,2,3.72
185,200,19,2,2.6
